name	seqnames	start	end	width
CpG:_35	chr1	1957047	1957386	340
CpG:_44	chr1	1959415	1959867	453
CpG:_15	chr1	1960943	1961148	206
CpG:_38	chr1	1961408	1961850	443
CpG:_22	chr1	1974687	1974942	256
CpG:_58	chr1	1976124	1976628	505
CpG:_195	chr1	1981252	1983212	1961
CpG:_29	chr1	1990780	1991171	392
CpG:_36	chr1	2005180	2005565	386
CpG:_82	chr1	2025206	2026225	1020
CpG:_21	chr1	2038556	2038863	308
CpG:_23	chr1	2040998	2041302	305
CpG:_32	chr1	2046430	2046865	436
CpG:_20	chr1	2063783	2064052	270
CpG:_26	chr1	2064629	2064855	227
CpG:_22	chr1	2066368	2066666	299
CpG:_17	chr1	2082315	2082529	215
CpG:_34	chr1	2116433	2116801	369
CpG:_55	chr1	2121018	2121818	801
CpG:_46	chr1	2126049	2126642	594
CpG:_70	chr1	2136809	2137351	543
CpG:_24	chr1	2144200	2144497	298
CpG:_238	chr1	2158213	2161173	2961
CpG:_179	chr1	2212021	2213881	1861
CpG:_26	chr1	2222199	2222569	371
CpG:_23	chr1	2232311	2232617	307
CpG:_30	chr1	2235309	2235667	359
CpG:_206	chr1	2236443	2239069	2627
CpG:_135	chr1	2245715	2247086	1372
CpG:_27	chr1	2249316	2249634	319
CpG:_75	chr1	2253724	2254758	1035
CpG:_23	chr1	2258098	2258423	326
CpG:_24	chr1	2259065	2259326	262
CpG:_30	chr1	2266008	2266432	425
CpG:_24	chr1	2276359	2276657	299
CpG:_16	chr1	2304160	2304376	217
CpG:_37	chr1	2316354	2316749	396
CpG:_146	chr1	2322482	2323764	1283
CpG:_43	chr1	2333551	2334172	622
CpG:_26	chr1	2339877	2340246	370
CpG:_133	chr1	2343386	2344717	1332
CpG:_19	chr1	2345892	2346156	265
CpG:_24	chr1	2359927	2360167	241
CpG:_17	chr1	2371847	2372073	227
CpG:_107	chr1	2374819	2375814	996
CpG:_30	chr1	2387670	2388086	417
CpG:_27	chr1	2398826	2399055	230
CpG:_26	chr1	2409758	2410049	292
CpG:_24	chr1	2411126	2411404	279
CpG:_29	chr1	2415199	2415506	308
CpG:_36	chr1	2433649	2434065	417
CpG:_18	chr1	2435042	2435257	216
CpG:_24	chr1	2435555	2435828	274
CpG:_17	chr1	2439798	2440022	225
CpG:_30	chr1	2440127	2440478	352
CpG:_24	chr1	2445356	2445648	293
CpG:_25	chr1	2449923	2450206	284
CpG:_29	chr1	2451218	2451551	334
CpG:_16	chr1	2452796	2453007	212
CpG:_100	chr1	2457242	2458259	1018
CpG:_105	chr1	2460761	2462010	1250
CpG:_23	chr1	2466935	2467212	278
CpG:_49	chr1	2472096	2472586	491
CpG:_65	chr1	2477564	2478363	800
CpG:_133	chr1	2517398	2518892	1495
CpG:_20	chr1	2527240	2527503	264
CpG:_19	chr1	2537672	2537886	215
CpG:_96	chr1	2559893	2561055	1163
CpG:_86	chr1	2574031	2574864	834
CpG:_111	chr1	2706026	2706961	936
CpG:_41	chr1	2716742	2717233	492
CpG:_44	chr1	2772127	2772665	539
CpG:_15	chr1	2777158	2777361	204
CpG:_40	chr1	2827786	2828294	509
CpG:_19	chr1	2847057	2847288	232
CpG:_16	chr1	2850666	2850873	208
CpG:_21	chr1	2876546	2876808	263
CpG:_18	chr1	2885063	2885284	222
CpG:_23	chr1	2886590	2886923	334
CpG:_26	chr1	2918498	2918753	256
CpG:_22	chr1	2929156	2929376	221
CpG:_28	chr1	2938634	2939043	410
CpG:_126	chr1	2979276	2980758	1483
CpG:_406	chr1	2983926	2987962	4037
CpG:_82	chr1	2990031	2990718	688
CpG:_15	chr1	2997273	2997473	201
CpG:_19	chr1	2999728	2999978	251
CpG:_30	chr1	3028180	3028557	378
CpG:_20	chr1	3038068	3038343	276
CpG:_21	chr1	3056542	3056772	231
CpG:_17	chr1	3059051	3059268	218
CpG:_27	chr1	3071900	3072239	340
CpG:_29	chr1	3080935	3081292	358
CpG:_55	chr1	3102541	3103352	812
CpG:_27	chr1	3104957	3105253	297
CpG:_25	chr1	3111580	3111909	330
CpG:_19	chr1	3147846	3148081	236
CpG:_18	chr1	3155161	3155361	201
CpG:_61	chr1	3157510	3158300	791
CpG:_65	chr1	3163970	3164643	674
CpG:_33	chr1	3182822	3183216	395
CpG:_26	chr1	3184547	3184824	278
CpG:_47	chr1	3195377	3196052	676
CpG:_61	chr1	3203766	3204453	688
CpG:_24	chr1	3239916	3240261	346
CpG:_18	chr1	3275030	3275284	255
CpG:_20	chr1	3307070	3307285	216
CpG:_83	chr1	3310103	3311035	933
CpG:_75	chr1	3321270	3322310	1041
CpG:_107	chr1	3327992	3329424	1433
CpG:_19	chr1	3331041	3331279	239
CpG:_19	chr1	3331987	3332227	241
CpG:_52	chr1	3342013	3342806	794
CpG:_23	chr1	3351366	3351632	267
CpG:_82	chr1	3370906	3371683	778
CpG:_34	chr1	3394702	3395191	490
CpG:_21	chr1	3425577	3425797	221
CpG:_21	chr1	3426362	3426570	209
CpG:_26	chr1	3427356	3427683	328
CpG:_20	chr1	3435989	3436250	262
CpG:_57	chr1	3447450	3447950	501
CpG:_28	chr1	3459875	3460269	395
CpG:_46	chr1	3499903	3500470	568
CpG:_29	chr1	3511710	3512118	409
CpG:_59	chr1	3527620	3528078	459
CpG:_25	chr1	3528334	3528683	350
CpG:_120	chr1	3540768	3542241	1474
CpG:_18	chr1	3556964	3557201	238
CpG:_113	chr1	3559953	3561009	1057
CpG:_284	chr1	3566446	3569636	3191
CpG:_40	chr1	3607097	3607553	457
CpG:_15	chr1	3623319	3623521	203
CpG:_32	chr1	3634634	3635101	468
CpG:_36	chr1	3649295	3649674	380
CpG:_101	chr1	3662964	3664085	1122
CpG:_92	chr1	3688554	3689684	1131
CpG:_18	chr1	3703673	3703908	236
CpG:_92	chr1	3712399	3713234	836
CpG:_38	chr1	3731459	3732015	557
CpG:_110	chr1	3773188	3774465	1278
CpG:_21	chr1	3775078	3775369	292
CpG:_49	chr1	3790865	3791611	747
CpG:_48	chr1	3808491	3809236	746
CpG:_134	chr1	3816357	3818084	1728
CpG:_18	chr1	3824220	3824456	237
CpG:_41	chr1	4192634	4193243	610
CpG:_23	chr1	4221388	4221672	285
CpG:_232	chr1	4713990	4716555	2566
CpG:_23	chr1	4726577	4726867	291
CpG:_67	chr1	4771653	4772545	893
CpG:_17	chr1	4832352	4832553	202
CpG:_43	chr1	5772057	5772513	457
CpG:_16	chr1	5793558	5793784	227
CpG:_22	chr1	5937158	5937392	235
CpG:_16	chr1	5950825	5951029	205
CpG:_162	chr1	6051596	6052955	1360
CpG:_20	chr1	6086245	6086494	250
CpG:_20	chr1	6111610	6111836	227
CpG:_34	chr1	6131636	6131985	350
CpG:_41	chr1	6187744	6188235	492
CpG:_22	chr1	6188874	6189120	247
CpG:_20	chr1	6202119	6202359	241
CpG:_28	chr1	6208717	6209039	323
CpG:_180	chr1	6239238	6240814	1577
CpG:_17	chr1	6241032	6241251	220
CpG:_66	chr1	6259179	6259883	705
CpG:_96	chr1	6265826	6266778	953
CpG:_88	chr1	6268821	6269588	768
CpG:_74	chr1	6295529	6296261	733
CpG:_111	chr1	6301696	6302856	1161
CpG:_120	chr1	6305149	6306463	1315
CpG:_100	chr1	6309164	6310092	929
CpG:_35	chr1	6313762	6314139	378
CpG:_92	chr1	6320138	6320942	805
CpG:_22	chr1	6339949	6340268	320
CpG:_21	chr1	6341137	6341412	276
CpG:_148	chr1	6452815	6454185	1371
CpG:_180	chr1	6479058	6480938	1881
CpG:_87	chr1	6484504	6485327	824
CpG:_87	chr1	6500169	6501130	962
CpG:_156	chr1	6507208	6509186	1979
CpG:_32	chr1	6511690	6512110	421
CpG:_231	chr1	6514109	6516325	2217
CpG:_109	chr1	6520585	6521955	1371
CpG:_24	chr1	6525997	6526228	232
CpG:_104	chr1	6530537	6531814	1278
CpG:_44	chr1	6545144	6545559	416
CpG:_84	chr1	6550084	6551115	1032
CpG:_34	chr1	6557562	6557872	311
CpG:_68	chr1	6614137	6614835	699
CpG:_80	chr1	6639428	6640361	934
CpG:_23	chr1	6653398	6653674	277
CpG:_27	chr1	6659126	6659505	380
CpG:_224	chr1	6661777	6663844	2068
CpG:_273	chr1	6672787	6675741	2955
CpG:_67	chr1	6685072	6685691	620
CpG:_96	chr1	6761296	6762131	836
CpG:_191	chr1	6844314	6846366	2053
CpG:_23	chr1	7022002	7022308	307
CpG:_16	chr1	7122520	7122727	208
CpG:_111	chr1	7723401	7725175	1775
CpG:_107	chr1	7740144	7741117	974
CpG:_157	chr1	7764594	7765856	1263
CpG:_61	chr1	7831379	7831846	468
CpG:_20	chr1	7843461	7843693	233
CpG:_110	chr1	7843916	7845104	1189
CpG:_25	chr1	7887199	7887476	278
CpG:_31	chr1	8002409	8002699	291
CpG:_62	chr1	8013994	8014651	658
CpG:_91	chr1	8021302	8022226	925
CpG:_157	chr1	8085555	8086854	1300
CpG:_15	chr1	8271997	8272202	206
CpG:_63	chr1	8277196	8277822	627
CpG:_67	chr1	8377785	8378447	663
CpG:_24	chr1	8384388	8384719	332
CpG:_21	chr1	8385896	8386168	273
CpG:_46	chr1	8390203	8390800	598
CpG:_23	chr1	8395344	8395635	292
CpG:_32	chr1	8403698	8404102	405
CpG:_43	chr1	8418323	8418857	535
CpG:_80	chr1	8483390	8484339	950
CpG:_64	chr1	8763006	8763549	544
CpG:_22	chr1	8877013	8877283	271
CpG:_62	chr1	8877599	8878092	494
CpG:_140	chr1	8938099	8939409	1311
CpG:_105	chr1	9099281	9100513	1233
CpG:_32	chr1	9131603	9131909	307
CpG:_112	chr1	9188504	9189743	1240
CpG:_157	chr1	9242168	9243827	1660
CpG:_38	chr1	9258566	9258956	391
CpG:_79	chr1	9294402	9295118	717
CpG:_20	chr1	9324203	9324439	237
CpG:_23	chr1	9324688	9325016	329
CpG:_24	chr1	9416127	9416404	278
CpG:_22	chr1	9427508	9427734	227
CpG:_33	chr1	9488938	9489249	312
CpG:_32	chr1	9555380	9555652	273
CpG:_144	chr1	9599351	9600444	1094
CpG:_97	chr1	9648587	9649517	931
CpG:_19	chr1	9670618	9670868	251
CpG:_30	chr1	9687126	9687367	242
CpG:_129	chr1	9711781	9713001	1221
CpG:_71	chr1	9749296	9750228	933
CpG:_26	chr1	9775709	9775997	289
CpG:_32	chr1	9790293	9790704	412
CpG:_26	chr1	9791159	9791486	328
CpG:_19	chr1	9822577	9822817	241
CpG:_159	chr1	9883012	9884667	1656
CpG:_28	chr1	9969846	9970063	218
CpG:_21	chr1	9970585	9970790	206
CpG:_39	chr1	10003166	10003585	420
CpG:_92	chr1	10057122	10058108	987
CpG:_72	chr1	10092533	10093404	872
CpG:_160	chr1	10270016	10271306	1291
CpG:_18	chr1	10386184	10386390	207
CpG:_147	chr1	10458549	10459997	1449
CpG:_83	chr1	10490201	10491072	872
CpG:_59	chr1	10532178	10532800	623
CpG:_22	chr1	10534919	10535172	254
CpG:_48	chr1	10698300	10698910	611
CpG:_75	chr1	10699395	10700098	704
CpG:_19	chr1	10702137	10702340	204
CpG:_25	chr1	10707811	10708140	330
CpG:_30	chr1	10713839	10714203	365
CpG:_22	chr1	10714402	10714708	307
CpG:_48	chr1	10719868	10720581	714
CpG:_36	chr1	10725188	10725617	430
CpG:_42	chr1	10753774	10754176	403
CpG:_21	chr1	10755227	10755521	295
CpG:_27	chr1	10757892	10758252	361
CpG:_43	chr1	10764450	10764925	476
CpG:_247	chr1	10853895	10856964	3070
CpG:_20	chr1	10895896	10896117	222
CpG:_93	chr1	11072320	11073245	926
CpG:_123	chr1	11119031	11120634	1604
CpG:_77	chr1	11159388	11160136	749
CpG:_60	chr1	11322259	11323036	778
CpG:_29	chr1	11333260	11333547	288
CpG:_172	chr1	11538670	11540342	1673
CpG:_80	chr1	11561367	11562156	790
CpG:_20	chr1	11589839	11590044	206
CpG:_23	chr1	11596383	11596622	240
CpG:_40	chr1	11708768	11709277	510
CpG:_35	chr1	11710460	11710788	329
CpG:_100	chr1	11714218	11715304	1087
CpG:_84	chr1	11724114	11724885	772
CpG:_95	chr1	11740829	11741717	889
CpG:_169	chr1	11750702	11752651	1950
CpG:_34	chr1	11779567	11780016	450
CpG:_27	chr1	11795976	11796263	288
CpG:_25	chr1	11822140	11822363	224
CpG:_93	chr1	11865463	11866566	1104
CpG:_28	chr1	11898394	11898732	339
CpG:_43	chr1	11919116	11919555	440
CpG:_84	chr1	11985644	11986634	991
CpG:_35	chr1	11994695	11994969	275
CpG:_73	chr1	12040114	12040793	680
CpG:_66	chr1	12079252	12079903	652
CpG:_63	chr1	12123489	12124148	660
CpG:_90	chr1	12226877	12227712	836
CpG:_21	chr1	12251778	12251985	208
CpG:_56	chr1	12289955	12290585	631
CpG:_23	chr1	12290956	12291199	244
CpG:_18	chr1	12600348	12600556	209
CpG:_33	chr1	12655927	12656248	322
CpG:_133	chr1	12676984	12678642	1659
CpG:_89	chr1	13839506	13840613	1108
CpG:_23	chr1	13881411	13881612	202
CpG:_22	chr1	13909607	13909842	236
CpG:_59	chr1	13910138	13910868	731
CpG:_84	chr1	14026482	14027200	719
CpG:_109	chr1	14075268	14076458	1191
CpG:_41	chr1	14219351	14219737	387
CpG:_119	chr1	14924611	14925993	1383
CpG:_21	chr1	15127584	15127869	286
CpG:_135	chr1	15250374	15251545	1172
CpG:_31	chr1	15375064	15375413	350
CpG:_197	chr1	15479220	15481471	2252
CpG:_20	chr1	15541182	15541447	266
CpG:_45	chr1	15573621	15573953	333
CpG:_121	chr1	15736034	15737228	1195
CpG:_23	chr1	15850494	15850699	206
CpG:_51	chr1	15851107	15851581	475
CpG:_53	chr1	15853109	15853663	555
CpG:_54	chr1	15911089	15911608	520
CpG:_44	chr1	15929824	15930289	466
CpG:_57	chr1	15943822	15944356	535
CpG:_21	chr1	16011267	16011502	236
CpG:_25	chr1	16053617	16053975	359
CpG:_17	chr1	16058298	16058505	208
CpG:_18	chr1	16070629	16070853	225
CpG:_15	chr1	16073319	16073521	203
CpG:_76	chr1	16085148	16085862	715
CpG:_151	chr1	16161261	16162880	1620
CpG:_41	chr1	16163753	16164123	371
CpG:_184	chr1	16173890	16175396	1507
CpG:_27	chr1	16175830	16176117	288
CpG:_22	chr1	16260871	16261155	285
CpG:_28	chr1	16269901	16270259	359
CpG:_82	chr1	16270592	16271582	991
CpG:_72	chr1	16301903	16302672	770
CpG:_42	chr1	16399649	16400072	424
CpG:_20	chr1	16464377	16464621	245
CpG:_20	chr1	16475112	16475324	213
CpG:_118	chr1	16481485	16482782	1298
CpG:_48	chr1	16494062	16494505	444
CpG:_124	chr1	16532918	16534580	1663
CpG:_44	chr1	16543684	16544307	624
CpG:_37	chr1	16553327	16553660	334
CpG:_37	chr1	16563545	16563799	255
CpG:_64	chr1	16678575	16679192	618
CpG:_56	chr1	16693622	16694270	649
CpG:_70	chr1	16766999	16767803	805
CpG:_36	chr1	16810606	16810957	352
CpG:_129	chr1	16825139	16826377	1239
CpG:_18	chr1	16840785	16841028	244
CpG:_42	chr1	16847281	16847892	612
CpG:_105	chr1	16860874	16862296	1423
CpG:_41	chr1	16874402	16874813	412
CpG:_103	chr1	16939457	16940454	998
CpG:_64	chr1	16970856	16971492	637
CpG:_133	chr1	16973486	16975045	1560
CpG:_31	chr1	16984778	16985053	276
CpG:_19	chr1	16993452	16993690	239
CpG:_38	chr1	17006743	17007151	409
CpG:_231	chr1	17018684	17020959	2276
CpG:_25	chr1	17022987	17023284	298
CpG:_181	chr1	17025924	17027942	2019
CpG:_89	chr1	17033769	17034728	960
CpG:_38	chr1	17051492	17051891	400
CpG:_19	chr1	17066764	17067002	239
CpG:_30	chr1	17075405	17075680	276
CpG:_128	chr1	17085412	17086974	1563
CpG:_41	chr1	17186112	17186523	412
CpG:_23	chr1	17197562	17197849	288
CpG:_103	chr1	17198627	17200049	1423
CpG:_51	chr1	17215422	17216094	673
CpG:_18	chr1	17222228	17222466	239
CpG:_26	chr1	17231299	17231680	382
CpG:_96	chr1	17240039	17240970	932
CpG:_22	chr1	17281819	17282056	238
CpG:_48	chr1	17287291	17287684	394
CpG:_19	chr1	17292905	17293115	211
CpG:_72	chr1	17306552	17307363	812
CpG:_17	chr1	17331886	17332093	208
CpG:_77	chr1	17337830	17338590	761
CpG:_31	chr1	17380457	17380722	266
CpG:_47	chr1	17445652	17446088	437
CpG:_37	chr1	17475703	17476075	373
CpG:_18	chr1	17734436	17734645	210
CpG:_30	chr1	17746201	17746547	347
CpG:_139	chr1	17764073	17765811	1739
CpG:_83	chr1	17865864	17866630	767
CpG:_17	chr1	17949453	17949670	218
CpG:_32	chr1	18023482	18023792	311
CpG:_31	chr1	18152379	18152842	464
CpG:_83	chr1	18434106	18434813	708
CpG:_29	chr1	18435567	18435904	338
CpG:_90	chr1	18436552	18437673	1122
CpG:_18	chr1	18691875	18692081	207
CpG:_21	chr1	18703296	18703496	201
CpG:_81	chr1	18808874	18809667	794
CpG:_205	chr1	18956896	18959829	2934
CpG:_56	chr1	18962843	18963481	639
CpG:_20	chr1	18964181	18964401	221
CpG:_58	chr1	18967252	18968119	868
CpG:_98	chr1	18969549	18970739	1191
CpG:_30	chr1	18971730	18972097	368
CpG:_26	chr1	18973029	18973304	276
CpG:_51	chr1	19043391	19043828	438
CpG:_19	chr1	19110721	19110932	212
CpG:_44	chr1	19180946	19181469	524
CpG:_37	chr1	19203875	19204234	360
CpG:_21	chr1	19209627	19209914	288
CpG:_67	chr1	19228829	19229634	806
CpG:_199	chr1	19281949	19283883	1935
CpG:_83	chr1	19536152	19537046	895
CpG:_82	chr1	19577885	19578708	824
CpG:_72	chr1	19600250	19600942	693
CpG:_73	chr1	19614999	19615660	662
CpG:_129	chr1	19638208	19639309	1102
CpG:_25	chr1	19665011	19665276	266
CpG:_96	chr1	19811704	19812644	941
CpG:_54	chr1	19923342	19924002	661
CpG:_153	chr1	19970256	19971923	1668
CpG:_160	chr1	19991147	19992788	1642
CpG:_33	chr1	20005511	20005865	355
CpG:_63	chr1	20126030	20126780	751
CpG:_89	chr1	20208808	20209462	655
CpG:_36	chr1	20512361	20512797	437
CpG:_34	chr1	20569456	20569817	362
CpG:_46	chr1	20669567	20670018	452
CpG:_110	chr1	20692583	20693534	952
CpG:_245	chr1	20810463	20813511	3049
CpG:_43	chr1	20834417	20834883	467
CpG:_188	chr1	20878895	20880592	1698
CpG:_57	chr1	20960046	20960551	506
CpG:_61	chr1	20987517	20988238	722
CpG:_19	chr1	21022940	21023189	250
CpG:_34	chr1	21031009	21031369	361
CpG:_109	chr1	21043833	21044771	939
CpG:_115	chr1	21058007	21059366	1360
CpG:_156	chr1	21112709	21114121	1413
CpG:_77	chr1	21503116	21503836	721
CpG:_32	chr1	21551575	21551931	357
CpG:_68	chr1	21616381	21617101	721
CpG:_111	chr1	21671361	21672319	959
CpG:_121	chr1	21754798	21755995	1198
CpG:_34	chr1	21763071	21763416	346
CpG:_84	chr1	21766273	21767224	952
CpG:_23	chr1	21786446	21786713	268
CpG:_77	chr1	21835549	21836344	796
CpG:_20	chr1	21930180	21930380	201
CpG:_49	chr1	21948675	21949263	589
CpG:_60	chr1	21978102	21978764	663
CpG:_50	chr1	21985704	21986102	399
CpG:_74	chr1	21995064	21995914	851
CpG:_24	chr1	21996162	21996409	248
CpG:_112	chr1	22109130	22110261	1132
CpG:_49	chr1	22140892	22141407	516
CpG:_19	chr1	22149684	22149897	214
CpG:_22	chr1	22155301	22155565	265
CpG:_23	chr1	22191350	22191592	243
CpG:_25	chr1	22210993	22211318	326
CpG:_16	chr1	22213903	22214119	217
CpG:_22	chr1	22351918	22352194	277
CpG:_103	chr1	22379010	22380029	1020
CpG:_35	chr1	22446521	22446943	423
CpG:_17	chr1	22456024	22456225	202
CpG:_122	chr1	22468913	22470252	1340
CpG:_19	chr1	22612215	22612418	204
CpG:_17	chr1	22668639	22668862	224
CpG:_62	chr1	22778237	22778817	581
CpG:_71	chr1	22889596	22890096	501
CpG:_47	chr1	22902803	22903413	611
CpG:_32	chr1	22919774	22920207	434
CpG:_30	chr1	22927146	22927542	397
CpG:_19	chr1	22974051	22974303	253
CpG:_33	chr1	23003417	23003831	415
CpG:_113	chr1	23036824	23038362	1539
CpG:_46	chr1	23110905	23111567	663
CpG:_129	chr1	23279554	23280569	1016
CpG:_101	chr1	23345815	23346677	863
CpG:_54	chr1	23504060	23504633	574
CpG:_83	chr1	23543378	23544237	860
CpG:_130	chr1	23670246	23671363	1118
CpG:_99	chr1	23694691	23696050	1360
CpG:_101	chr1	23750509	23751663	1155
CpG:_56	chr1	23763155	23763971	817
CpG:_72	chr1	23809978	23810693	716
CpG:_107	chr1	23857034	23858089	1056
CpG:_70	chr1	23881018	23881755	738
CpG:_23	chr1	23884843	23885087	245
CpG:_49	chr1	23885683	23886212	530
CpG:_49	chr1	23894641	23895064	424
CpG:_38	chr1	23945942	23946295	354
CpG:_17	chr1	24018356	24018567	212
CpG:_131	chr1	24069696	24070615	920
CpG:_82	chr1	24104503	24105263	761
CpG:_35	chr1	24117483	24117824	342
CpG:_79	chr1	24126800	24127549	750
CpG:_84	chr1	24194255	24194990	736
CpG:_47	chr1	24229116	24229537	422
CpG:_97	chr1	24285786	24286701	916
CpG:_82	chr1	24306364	24307017	654
CpG:_74	chr1	24513541	24514477	937
CpG:_74	chr1	24648203	24648985	783
CpG:_37	chr1	24739858	24740262	405
CpG:_24	chr1	24742672	24743039	368
CpG:_108	chr1	24828866	24829878	1013
CpG:_19	chr1	24861703	24861920	218
